nazov,date,daily_pocet_do,daily_pocet_z,daily_total,zemepisna_sirka,zemepisna_dlzka,smer_do,smer_z,weekday,is_weekend,month,year
#1 - Starý Most,2025-08-07,1176,73,1249,48.110442,17.127512,Centrum,Petržalka,3,0,8,2025
#1 - Starý Most,2025-08-09,749,68,817,48.110442,17.127512,Centrum,Petržalka,5,1,8,2025
#1 - Starý Most,2025-08-10,797,39,836,48.110442,17.127512,Centrum,Petržalka,6,1,8,2025
#1 - Starý Most,2025-08-11,971,87,1058,48.110442,17.127512,Centrum,Petržalka,0,0,8,2025
#1 - Starý Most,2025-08-12,1071,75,1146,48.110442,17.127512,Centrum,Petržalka,1,0,8,2025
#1 - Starý Most,2025-08-13,1063,80,1143,48.110442,17.127512,Centrum,Petržalka,2,0,8,2025
#1 - Starý Most,2025-08-14,969,69,1038,48.110442,17.127512,Centrum,Petržalka,3,0,8,2025
#1 - Starý Most,2025-08-15,847,81,928,48.110442,17.127512,Centrum,Petržalka,4,0,8,2025
#1 - Starý Most,2025-08-16,761,50,811,48.110442,17.127512,Centrum,Petržalka,5,1,8,2025
#1 - Starý Most,2025-08-17,1081,58,1139,48.110442,17.127512,Centrum,Petržalka,6,1,8,2025
#1 - Starý Most,2025-08-18,1021,82,1103,48.110442,17.127512,Centrum,Petržalka,0,0,8,2025
#1 - Starý Most,2025-08-19,1089,84,1173,48.110442,17.127512,Centrum,Petržalka,1,0,8,2025
#1 - Starý Most,2025-08-21,491,57,548,48.110442,17.127512,Centrum,Petržalka,3,0,8,2025
#1 - Starý Most,2025-08-22,775,60,835,48.110442,17.127512,Centrum,Petržalka,4,0,8,2025
#1 - Starý Most,2025-08-23,1154,78,1232,48.110442,17.127512,Centrum,Petržalka,5,1,8,2025
#1 - Starý Most,2025-08-24,907,65,972,48.110442,17.127512,Centrum,Petržalka,6,1,8,2025
#1 - Starý Most,2025-08-25,827,69,896,48.110442,17.127512,Centrum,Petržalka,0,0,8,2025
#1 - Starý Most,2025-08-26,995,77,1072,48.110442,17.127512,Centrum,Petržalka,1,0,8,2025
#1 - Starý Most,2025-08-27,1093,73,1166,48.110442,17.127512,Centrum,Petržalka,2,0,8,2025
#1 - Starý Most,2025-08-29,810,49,859,48.110442,17.127512,Centrum,Petržalka,4,0,8,2025
#1 - Starý Most,2025-08-30,647,42,689,48.110442,17.127512,Centrum,Petržalka,5,1,8,2025
#1 - Starý Most,2025-08-31,513,38,551,48.110442,17.127512,Centrum,Petržalka,6,1,8,2025
#1 - Starý Most,2025-09-01,902,83,985,48.110442,17.127512,Centrum,Petržalka,0,0,9,2025
#1 - Starý Most,2025-09-02,1055,80,1135,48.110442,17.127512,Centrum,Petržalka,1,0,9,2025
#1 - Starý Most,2025-09-03,969,71,1040,48.110442,17.127512,Centrum,Petržalka,2,0,9,2025
#1 - Starý Most,2025-09-04,975,79,1054,48.110442,17.127512,Centrum,Petržalka,3,0,9,2025
#1 - Starý Most,2025-09-05,926,71,997,48.110442,17.127512,Centrum,Petržalka,4,0,9,2025
#1 - Starý Most,2025-09-06,646,54,700,48.110442,17.127512,Centrum,Petržalka,5,1,9,2025
#1 - Starý Most,2025-09-07,959,70,1029,48.110442,17.127512,Centrum,Petržalka,6,1,9,2025
#1 - Starý Most,2025-09-08,1005,86,1091,48.110442,17.127512,Centrum,Petržalka,0,0,9,2025
#1 - Starý Most,2025-09-09,1093,78,1171,48.110442,17.127512,Centrum,Petržalka,1,0,9,2025
#1 - Starý Most,2025-09-10,376,48,424,48.110442,17.127512,Centrum,Petržalka,2,0,9,2025
#1 - Starý Most,2025-09-11,836,67,903,48.110442,17.127512,Centrum,Petržalka,3,0,9,2025
#1 - Starý Most,2025-09-12,714,67,781,48.110442,17.127512,Centrum,Petržalka,4,0,9,2025
#1 - Starý Most,2025-09-13,727,59,786,48.110442,17.127512,Centrum,Petržalka,5,1,9,2025
#1 - Starý Most,2025-09-14,336,34,370,48.110442,17.127512,Centrum,Petržalka,6,1,9,2025
#1 - Starý Most,2025-09-15,1056,53,1109,48.110442,17.127512,Centrum,Petržalka,0,0,9,2025
#1 - Starý Most,2025-09-16,615,58,673,48.110442,17.127512,Centrum,Petržalka,1,0,9,2025
#1 - Starý Most,2025-09-17,753,86,839,48.110442,17.127512,Centrum,Petržalka,2,0,9,2025
#1 - Starý Most,2025-09-18,894,71,965,48.110442,17.127512,Centrum,Petržalka,3,0,9,2025
#1 - Starý Most,2025-09-19,768,59,827,48.110442,17.127512,Centrum,Petržalka,4,0,9,2025
#1 - Starý Most,2025-09-20,578,49,627,48.110442,17.127512,Centrum,Petržalka,5,1,9,2025
